,Name,OnDisk,NbReplicas
2964,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco10/Stripping13b/90000000/MINIBIAS.DST,0,1.0
1029,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco10/Stripping13b/90000000/RADIATIVE.DST,0,1.0
5128,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco10/Stripping13b/90000000/SEMILEPTONIC.DST,0,1.0
4340,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco11/CaloFemtoDst02/90000000/FMDST,0,1.0
4972,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco11/Stripping15/90000000/BHADRON.DST,0,1.0
1874,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco11/Stripping15/90000000/CALIBRATION.DST,0,1.0
4501,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco11/Stripping15/90000000/CHARM.MDST,0,1.0
344,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco11/Stripping15/90000000/CHARMCOMPLETEEVENT.DST,0,1.0
2358,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco11/Stripping15/90000000/DIELECTRON.DST,0,1.0
4303,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco11/Stripping15/90000000/DIMUON.DST,0,1.0
2032,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco11/Stripping15/90000000/EW.DST,0,1.0
138,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco11/Stripping15/90000000/LEPTONIC.MDST,0,1.0
4775,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco11/Stripping15/90000000/MINIBIAS.DST,0,1.0
4051,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco11/Stripping15/90000000/PID.MDST,0,1.0
78,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco11/Stripping15/90000000/RADIATIVE.DST,0,1.0
3579,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco11/Stripping15/90000000/SEMILEPTONIC.DST,0,1.0
4283,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco11a/CaloFemtoDst02/90000000/FMDST,0,1.0
1707,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco11a/Stripping16/90000000/BHADRON.DST,0,1.0
1789,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco11a/Stripping16/90000000/CALIBRATION.DST,0,1.0
3712,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco11a/Stripping16/90000000/CHARM.MDST,0,1.0
4962,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco11a/Stripping16/90000000/CHARMCOMPLETEEVENT.DST,0,1.0
2593,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco11a/Stripping16/90000000/DIELECTRON.DST,0,1.0
607,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco11a/Stripping16/90000000/DIMUON.DST,0,1.0
101,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco11a/Stripping16/90000000/EW.DST,0,1.0
318,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco11a/Stripping16/90000000/LEPTONIC.MDST,0,1.0
710,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco11a/Stripping16/90000000/MINIBIAS.DST,0,1.0
3207,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco11a/Stripping16/90000000/PID.MDST,0,1.0
2321,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco11a/Stripping16/90000000/RADIATIVE.DST,0,1.0
4415,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco11a/Stripping16/90000000/SEMILEPTONIC.DST,0,1.0
4699,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17/90000000/BHADRON.DST,1,4.0
4585,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17/90000000/CALIBRATION.DST,0,1.0
3192,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17/90000000/CHARM.MDST,1,4.0
3541,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17/90000000/CHARMCOMPLETEEVENT.DST,1,4.0
4594,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17/90000000/DIMUON.DST,1,4.0
268,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17/90000000/EW.DST,1,4.0
3638,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17/90000000/LEPTONIC.MDST,0,1.0
614,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17/90000000/MINIBIAS.DST,1,4.0
1494,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17/90000000/PID.MDST,0,1.0
1733,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17/90000000/RADIATIVE.DST,0,1.0
4619,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17/90000000/SEMILEPTONIC.DST,0,1.0
4337,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17/Reco12-Stripping17/90000000/EWHIGHPTMULINES.DST,0,1.0
3471,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17/WG-CP-Selection/90000000/BUBDBSSELECTION.DST,0,1.0
1339,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17/WG-CP-Selection/90000000/BUBDBSSELECTION.ROOT,0,1.0
665,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17/WG-CharmConfig-Swimming-D02KK/90000000/SWIMSTRIPPINGD02KK.MDST,0,1.0
4404,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17/WG-CharmConfig-Swimming-D02KK/90000000/SWIMTRIGGERD02KK.DST,0,1.0
5057,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17/WG-CharmConfig-Swimming-D02KK/WG-CharmConfig-Swimming-D02KK/90000000/SWIMSTRIPPINGD02KK.MDST,0,1.0
5099,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17/WG-CharmConfig-Swimming-D02KPi/90000000/SWIMSTRIPPINGD02KPI.MDST,0,1.0
4643,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17/WG-CharmConfig-Swimming-D02KPi/90000000/SWIMTRIGGERD02KPI.DST,0,1.0
4397,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17/WG-CharmConfig-Swimming-D02KPi/WG-CharmConfig-Swimming-D02KPi/90000000/SWIMSTRIPPINGD02KPI.MDST,0,1.0
2652,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17/WG-CharmConfig-Swimming-D02PiPi/90000000/SWIMTRIGGERD02PIPI.DST,0,1.0
3701,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17/WG-CharmConfig-Swimming-D02PiPi/WG-CharmConfig-Swimming-D02PiPi/90000000/SWIMSTRIPPINGD02PIPI.MDST,0,1.0
3265,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17/WG-CharmConfig-Swimming-D02PiPi/WG-CharmConfig-Swimming-D02PiPi/WG-CharmConfig-Swimming-D02PiPi/90000000/SWIMSTRIPPINGD02PIPI.MDST,0,1.0
927,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17/WG-CharmConfig-Swimming-D02WS/WG-CharmConfig-Swimming-D02WS/90000000/SWIMSTRIPPINGD02WS.MDST,0,1.0
61,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17/WG-CharmConfig-Swimming-D02WS/WG-CharmConfig-Swimming-D02WS/WG-CharmConfig-Swimming-D02WS/90000000/SWIMSTRIPPINGD02WS.MDST,0,1.0
3245,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17/WG-RD-Selection/90000000/BSMUMUBLIND.DST,0,1.0
692,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17/WG-RD-Selection/90000000/BSMUMUUNBLIND.DST,0,1.0
1765,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17b/90000000/BHADRON.DST,1,4.0
2284,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17b/90000000/CHARM.MDST,0,1.0
690,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17b/90000000/CHARMCOMPLETEEVENT.DST,0,1.0
3978,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17b/90000000/DIMUON.DST,1,4.0
1941,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17b/90000000/EW.DST,1,4.0
3177,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17b/90000000/PID.MDST,0,1.0
4524,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17b/90000000/RADIATIVE.DST,0,1.0
3097,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17b/90000000/SEMILEPTONIC.DST,1,1.0
1942,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17b/WG-CP-Selection/90000000/BUBDBSSELECTION.DST,0,1.0
3062,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17b/WG-CP-Selection/90000000/BUBDBSSELECTION.ROOT,0,1.0
2519,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17b/WG-CP-Selection/WG-Selection_NTuple_Creation/90000000/BUBDBSSELECTION.ROOT,0,1.0
261,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17b/WG-Charm-Stripping17b-Stripping-DstarD2KShh/90000000/CHARMCOMPLETEEVENT.DST,0,1.0
2973,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17b/WG-Charm-Stripping17b-Stripping-DstarD2KShh/WG-CharmConfig-Swimming-D02KSKK-TTfix/WG-CharmConfig-Swimming-D02KSKK-TTfix/90000000/SWIMSTRIPPINGD02KSKK.MDST,0,1.0
3246,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17b/WG-Charm-Stripping17b-Stripping-DstarD2KShh/WG-CharmConfig-Swimming-D02KSKK/WG-CharmConfig-Swimming-D02KSKK/90000000/SWIMSTRIPPINGD02KSKK.MDST,0,1.0
2062,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17b/WG-Charm-Stripping17b-Stripping-DstarD2KShh/WG-CharmConfig-Swimming-D02KSPiPi/WG-CharmConfig-Swimming-D02KSPiPi/90000000/SWIMSTRIPPINGD02KSPIPI.MDST,0,1.0
565,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17b/WG-Charm-Stripping17b-Stripping-DstarD2KShh/WG-CharmConfig-Swimming-D02KSPiPi/WG-CharmConfig-Swimming-D02KSPiPi/90000000/SWIMTRIGGERD02KSPIPI.DST,0,1.0
4469,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17b/WG-CharmConfig-Swimming-D02KSKK/90000000/SWIMTRIGGERD02KSKK.DST,0,1.0
2887,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17b/WG-CharmConfig-Swimming-D02KSKK/WG-CharmConfig-Swimming-D02KSKK/90000000/SWIMSTRIPPINGD02KSKK.MDST,0,1.0
200,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17b/WG-CharmConfig-Swimming-D02KSKK/WG-CharmConfig-Swimming-D02KSKK/WG-CharmConfig-Swimming-D02KSKK/90000000/SWIMSTRIPPINGD02KSKK.MDST,0,1.0
2247,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17b/WG-CharmConfig-Swimming-D02KSPiPi/WG-CharmConfig-Swimming-D02KSPiPi/90000000/SWIMSTRIPPINGD02KSPIPI.MDST,0,1.0
1743,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17b/WG-CharmConfig-Swimming-D02KSPiPi/WG-CharmConfig-Swimming-D02KSPiPi/WG-CharmConfig-Swimming-D02KSPiPi/90000000/SWIMSTRIPPINGD02KSPIPI.MDST,0,1.0
3479,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/90000000/FULL.DST,1,4.0
4312,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/Stripping20r1/90000000/BHADRON.MDST,1,4.0
1197,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/Stripping20r1/90000000/BHADRONCOMPLETEEVENT.DST,1,4.0
2686,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/Stripping20r1/90000000/CALIBRATION.DST,1,4.0
1830,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/Stripping20r1/90000000/CHARM.MDST,1,4.0
4454,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/Stripping20r1/90000000/CHARMCOMPLETEEVENT.DST,1,4.0
1687,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/Stripping20r1/90000000/CHARMCONTROL.DST,1,4.0
3656,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/Stripping20r1/90000000/DIMUON.DST,1,4.0
1665,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/Stripping20r1/90000000/EW.DST,1,4.0
4450,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/Stripping20r1/90000000/LEPTONIC.MDST,1,4.0
1685,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/Stripping20r1/90000000/MINIBIAS.DST,1,4.0
